ensgene,SRR1039508,SRR1039509,SRR1039512,SRR1039513,SRR1039516,SRR1039517,SRR1039520,SRR1039521,mean_control,mean_treated,log2_fold_change,p_value,Significance,color
ENSG00000002933,1296.0,1542.0,594.0,433.0,36.0,28.0,69.0,107.0,1419.0,513.5,-1.4646479474980758,0.025356857044456966,Downregulated,blue
ENSG00000003989,61.0,51.0,13.0,3.0,44.0,104.0,17.0,51.0,56.0,8.0,-2.662965012722429,0.02101958026239498,Downregulated,blue
ENSG00000004468,8.0,8.0,2.0,3.0,8.0,12.0,4.0,2.0,8.0,2.5,-1.362570079384708,0.008163401865824482,Downregulated,blue
